id,name
1,BALI
2,BANGKA BELITUNG
3,BANTEN
4,BENGKULU
5,D.I. YOGYAKARTA
6,DKI JAKARTA
7,GORONTALO
8,JAMBI
9,JAWA BARAT
10,JAWA TENGAH
11,JAWA TIMUR
12,KALIMANTAN BARAT
13,KALIMANTAN SELATAN
14,KALIMANTAN TENGAH
15,KALIMANTAN TIMUR
16,KEPULAUAN RIAU
17,LAMPUNG
18,MALUKU
19,MALUKU UTARA
20,NANGGROE ACEH DARUSSALAM
21,NUSA TENGGARA BARAT
22,NUSA TENGGARA TIMUR
23,PAPUA
24,RIAU
25,SULAWESI SELATAN
26,SULAWESI TENGAH
27,SULAWESI TENGGARA
28,SULAWESI UTARA
29,SUMATERA BARAT
30,SUMATERA SELATAN
31,SUMATERA UTARA
32,PAPUA BARAT
33,SULAWESI BARAT
34,KALIMANTAN UTARA
36,PAPUA BARAT DAYA
37,PAPUA TENGAH
38,PAPUA PEGUNUNGAN
39,PAPUA SELATAN
